ID_DEPARTAMENTO;ESC_DEPARTAMENTO;ID_MUNICIPIO;DESC_MUNICIPIO;ESTADO;ANNO;FECHA_GD
17;CALDAS;17873;VILLAMARÍA;0;2016;30/01/2019
15;BOYACÁ;15407;VILLA DE LEYVA;0;2016;26/02/2019
25;CUNDINAMARCA;25898;ZIPACÓN;1;2020;18/01/2020
85;CASANARE;85279;RECETOR;1;2020;18/01/2020
66;RISARALDA;66170;DOSQUEBRADAS;1;2020;18/02/2020
17;CALDAS;17174;CHINCHINÁ;1;2020;12/05/2020
17;CALDAS;17777;SUPÍA;1;2020;12/05/2020
44;LA GUAJIRA;44035;ALBANIA;1;2020;12/05/2020
44;LA GUAJIRA;44098;DISTRACCIÓN;1;2020;12/05/2020
54;NORTE DE SANTANDER;54874;VILLA DEL ROSARIO;1;2020;12/05/2020
95;GUAVIARE;95001;SAN JOSÉ DEL GUAVIARE;1;2020;12/05/2020
47;MAGDALENA;47245;EL BANCO;1;2020;21/05/2020
52;NARIÑO;52022;ALDANA;1;2020;21/05/2020
52;NARIÑO;52390;LA TOLA;1;2020;21/05/2020
95;GUAVIARE;95015;CALAMAR;1;2020;21/05/2020
15;BOYACÁ;15879;VIRACACHÁ;1;2020;1/06/2020
47;MAGDALENA;47268;EL RETÉN;1;2020;1/06/2020
47;MAGDALENA;47605;REMOLINO;1;2020;1/06/2020
52;NARIÑO;52560;POTOSÍ;1;2020;1/06/2020
5;ANTIOQUIA;5400;LA UNIÓN;1;2020;8/06/2020
8;ATLÁNTICO;8770;SUAN;1;2020;8/06/2020
13;BOLÍVAR;13248;EL GUAMO;1;2020;8/06/2020
18;CAQUETÁ;18001;FLORENCIA;1;2020;8/06/2020
47;MAGDALENA;47570;PUEBLOVIEJO;1;2020;8/06/2020
47;MAGDALENA;47745;SITIONUEVO;1;2020;8/06/2020
73;TOLIMA;73030;AMBALEMA;1;2020;8/06/2020
54;NORTE DE SANTANDER;54498;OCAÑA;1;2020;10/06/2020
54;NORTE DE SANTANDER;54670;SAN CALIXTO;1;2020;10/06/2020
54;NORTE DE SANTANDER;54800;TEORAMA;1;2020;10/06/2020
