ANNO;TRIMESTRE;ID_MUNICIPIO;MUNICIPIO;VELOCIDAD_DESCARGA;VELOCIDAD_CARGA;VELOCIDAD_CARGA_CORPORATIVO;VELOCIDAD_CARGA_RESIDENCIAL;VELOCIDAD_DESCARGA_CORPORATIVO;VELOCIDAD_DESCARGA_RESIDENCIAL
2017;2;5001;MEDELLÍN;6,71;1,37;3,81;1,13;10,37;6,36
2017;2;5002;ABEJORRAL;2,33;0,5;0,43;0,51;2,78;2,24
2017;2;5004;ABRIAQUÍ;2,78;0,54;0,6;0,51;3,71;2,37
2017;2;5021;ALEJANDRÍA;2,72;0,52;0,55;0,51;4,36;2,46
2017;2;5030;AMAGÁ;2,95;0,63;1,29;0,55;4,22;2,78
2017;2;5031;AMALFI;2,69;0,54;0,74;0,51;4,49;2,46
2017;2;5034;ANDES;2,92;0,53;0,4;0,55;3,47;2,83
2017;2;5036;ANGELÓPOLIS;2,76;0,49;0,39;0,51;2,84;2,74
2017;2;5038;ANGOSTURA;2,67;0,5;0,47;0,51;4,41;2,35
2017;2;5040;ANORÍ;2,47;0,52;0,55;0,51;3,84;2,18
2017;2;5042;SANTAFÉ DE ANTIOQUIA;3,13;0,5;0,45;0,51;3,64;3,04
2017;2;5044;ANZA;2,75;0,57;0,76;0,51;4,63;2,17
2017;2;5045;APARTADÓ;3,12;0,61;0,95;0,58;5,38;2,89
2017;2;5051;ARBOLETES;3,12;0,5;0,29;0,55;2,22;3,33
2017;2;5055;ARGELIA;2,82;0,65;1,65;0,51;5,06;2,52
2017;2;5059;ARMENIA;4,75;2,44;5,81;0,51;8,54;2,59
2017;2;5079;BARBOSA;4,97;1,16;3,13;1;8,16;4,72
2017;2;5086;BELMIRA;2,3;0,48;0,35;0,51;2,68;2,19
2017;2;5088;BELLO;5,83;1,21;4,61;1,11;10,49;5,69
2017;2;5091;BETANIA;2,56;0,49;0,36;0,51;3,26;2,43
2017;2;5093;BETULIA;2,61;0,51;0,49;0,51;4,6;2,4
2017;2;5101;CIUDAD BOLÍVAR;3,2;0,52;0,57;0,51;4,02;3,05
2017;2;5107;BRICEÑO;2,84;0,53;0,58;0,51;3,92;2,55
2017;2;5113;BURITICÁ;2,28;0,44;0,31;0,51;1,93;2,46
2017;2;5120;CÁCERES;2,42;0,44;0,2;0,5;1,63;2,59
2017;2;5125;CAICEDO;2,67;0,5;0,46;0,51;4,07;2,4
2017;2;5129;CALDAS;5,56;1,12;2,59;1,05;8,34;5,42
2017;2;5134;CAMPAMENTO;2,57;0,53;0,65;0,51;3,79;2,37
2017;2;5138;CAÑASGORDAS;2,63;0,51;0,49;0,51;4,14;2,44
2017;2;5142;CARACOLÍ;2,67;0,52;0,63;0,51;4,42;2,47
2017;2;5145;CARAMANTA;2,25;0,55;0,73;0,51;3,58;1,94
2017;2;5147;CAREPA;2,78;0,54;0,42;0,55;2,71;2,79
2017;2;5148;EL CARMEN DE VIBORAL;4,66;1,11;2,72;1;8,22;4,42
2017;2;5150;CAROLINA;2,64;0,51;0,5;0,51;3,67;2,52
2017;2;5154;CAUCASIA;3,02;0,53;0,46;0,54;4,18;2,9
2017;2;5172;CHIGORODÓ;2,69;0,55;0,38;0,57;3,23;2,64
2017;2;5190;CISNEROS;2,85;0,51;0,5;0,51;3,07;2,81
2017;2;5197;COCORNÁ;2,35;0,5;0,48;0,51;1,97;2,5
2017;2;5206;CONCEPCIÓN;2,45;0,53;0,61;0,51;3,76;2,18
2017;2;5209;CONCORDIA;2,85;0,5;0,43;0,51;3,83;2,66
2017;2;5212;COPACABANA;5,44;1,16;2,78;1,09;8,8;5,29
2017;2;5234;DABEIBA;3,25;0,52;0,57;0,51;5,19;2,97
2017;2;5237;DONMATÍAS;3;0,48;0,37;0,51;2,8;3,05
2017;2;5240;EBÉJICO;2,7;0,48;0,34;0,51;2,67;2,7
2017;2;5250;EL BAGRE;3,15;0,54;0,89;0,51;4,89;3
2017;2;5264;ENTRERRIOS;2,58;0,45;0,28;0,51;2,56;2,58
2017;2;5266;ENVIGADO;7,62;1,27;3,21;1,14;9,96;7,46
2017;2;5282;FREDONIA;2,34;0,57;0,28;0,63;2,49;2,31
2017;2;5284;FRONTINO;2,68;0,51;0,51;0,51;3,86;2,55
2017;2;5306;GIRALDO;3,06;0,51;0,48;0,52;4,51;2,77
2017;2;5308;GIRARDOTA;5,87;1,21;3,97;1;10,86;5,5
2017;2;5310;GÓMEZ PLATA;2,71;0,5;0,39;0,51;3,61;2,59
2017;2;5313;GRANADA;2,32;0,52;0,65;0,51;4,39;2,12
2017;2;5315;GUADALUPE;2,54;0,49;0,39;0,51;2,86;2,44
2017;2;5318;GUARNE;4,71;1,14;2,7;1;8,14;4,41
2017;2;5321;GUATAPE;3,18;0,5;0,43;0,51;4,07;3,01
2017;2;5347;HELICONIA;2,69;0,52;0,53;0,51;3,17;2,51
2017;2;5353;HISPANIA;2,71;0,51;0,53;0,51;3,57;2,57
2017;2;5360;ITAGUI;6,2;1,23;2,92;1,09;9,06;5,96
2017;2;5361;ITUANGO;2,61;0,51;0,49;0,51;2,57;2,62
2017;2;5364;JARDÍN;3,12;0,49;0,37;0,51;3,69;3,03
2017;2;5368;JERICÓ;2,66;0,5;0,41;0,51;2,85;2,63
2017;2;5376;LA CEJA;4,88;1,15;2,76;1,01;8,6;4,56
2017;2;5380;LA ESTRELLA;6,43;1,24;3,43;1,06;10,75;6,08
2017;2;5390;LA PINTADA;3,02;0,54;0,67;0,51;4,5;2,71
2017;2;5400;LA UNIÓN;4,4;1,07;1,78;1;6,5;4,2
2017;2;5411;LIBORINA;2,8;0,51;0,51;0,51;3,35;2,69
2017;2;5425;MACEO;2,86;0,47;0,3;0,51;2,48;2,97
2017;2;5440;MARINILLA;5,1;1,18;2,57;1,06;7,28;4,92
